epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.44,2.81059,2.43258,3.43795,0.02667,0.66667,0.10699,0.02853,3.02043,2.45308,3.2479,4e-05,4e-05,4e-05
2,2.617,2.89398,2.97493,3.29842,0.02667,0.66667,0.10699,0.02853,3.02043,2.45308,3.2479,9.67e-05,9.67e-05,9.67e-05
3,3.797,2.95283,2.55793,3.79472,0.02778,0.69444,0.09212,0.02924,2.90643,2.46484,3.2927,0.00014944,0.00014944,0.00014944
4,4.918,2.89382,2.56544,3.18154,0.02778,0.69444,0.09212,0.02924,2.90643,2.46484,3.2927,0.00019822,0.00019822,0.00019822
5,6.045,2.72341,2.67255,3.1027,0.02778,0.69444,0.09212,0.02924,2.90643,2.46484,3.2927,0.00024304,0.00024304,0.00024304
6,7.352,2.93665,2.79045,3.5289,0.02778,0.69444,0.09212,0.02924,2.90643,2.46484,3.2927,0.0002839,0.0002839,0.0002839
7,8.481,2.85785,2.69619,3.38636,0.02778,0.69444,0.09212,0.02924,2.90643,2.46484,3.2927,0.0003208,0.0003208,0.0003208
8,9.639,2.72512,2.67283,3.75899,0.08644,0.58333,0.09171,0.0256,2.68304,2.41977,3.18925,0.00035374,0.00035374,0.00035374
9,10.816,2.84815,2.89785,3.00737,0.08644,0.58333,0.09171,0.0256,2.68304,2.41977,3.18925,0.00038272,0.00038272,0.00038272
10,12.035,2.50511,2.5269,3.28452,0.08644,0.58333,0.09171,0.0256,2.68304,2.41977,3.18925,0.00040774,0.00040774,0.00040774
11,13.218,2.86099,2.7911,3.0931,0.08644,0.58333,0.09171,0.0256,2.68304,2.41977,3.18925,0.0004288,0.0004288,0.0004288
12,14.393,2.50999,2.54895,3.23866,0.08644,0.58333,0.09171,0.0256,2.68304,2.41977,3.18925,0.0004459,0.0004459,0.0004459
13,15.609,2.58864,2.67224,3.1969,0.08644,0.58333,0.09171,0.0256,2.68304,2.41977,3.18925,0.00045904,0.00045904,0.00045904
14,16.924,2.58757,2.46171,3.25727,0.08644,0.58333,0.09171,0.0256,2.68304,2.41977,3.18925,0.00046822,0.00046822,0.00046822
15,18.138,2.51112,2.42709,3.23636,0.08644,0.58333,0.09171,0.0256,2.68304,2.41977,3.18925,0.00047344,0.00047344,0.00047344
16,19.303,2.61349,2.60567,3.29072,0.08644,0.58333,0.09171,0.0256,2.68304,2.41977,3.18925,0.0004747,0.0004747,0.0004747
