epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.859,3.08938,3.52167,2.3847,0.01352,0.18818,0.01428,0.00509,2.86247,3.63613,2.43581,0.00064,0.00064,0.00064
2,376.016,2.83693,2.8301,2.16221,0.14904,0.11972,0.05588,0.01714,2.66075,2.90907,2.33004,0.00128713,0.00128713,0.00128713
3,583.588,2.68189,2.67283,2.19722,0.12233,0.10887,0.05392,0.01895,2.6037,2.92782,2.42904,0.00192119,0.00192119,0.00192119
4,777.573,2.56047,2.67053,2.19125,0.16524,0.12878,0.07578,0.02882,2.54096,2.74256,2.39234,0.0019406,0.0019406,0.0019406
5,946.456,2.5088,2.57441,2.10617,0.20552,0.10625,0.06879,0.02436,2.45626,2.67401,2.25334,0.0019208,0.0019208,0.0019208
6,1116.03,2.55207,2.54246,2.16824,0.22891,0.12009,0.08472,0.03219,2.45707,2.65491,2.27218,0.001901,0.001901,0.001901
7,1261.6,2.50683,2.53275,2.12885,0.30314,0.15002,0.12664,0.04816,2.36656,2.53537,2.16889,0.0018812,0.0018812,0.0018812
8,1385.39,2.42976,2.44061,2.09756,0.37869,0.17172,0.1599,0.06148,2.25043,2.44168,2.08845,0.0018614,0.0018614,0.0018614
9,1526.3,2.33163,2.37885,2.03116,0.35009,0.1908,0.16456,0.06516,2.18657,2.41286,2.0641,0.0018416,0.0018416,0.0018416
10,1669.19,2.37068,2.39863,2.03841,0.32578,0.18032,0.14528,0.05742,2.20844,2.44094,2.05409,0.0018218,0.0018218,0.0018218
11,1792.51,2.3248,2.40841,1.97943,0.36449,0.18519,0.16646,0.06781,2.11576,2.39795,2.00675,0.001802,0.001802,0.001802
12,1912.95,2.29407,2.31018,2.03626,0.36993,0.23345,0.19185,0.07944,2.0961,2.26544,2.00951,0.0017822,0.0017822,0.0017822
13,2034.71,2.24828,2.34828,2.0012,0.41692,0.2239,0.19985,0.08653,2.0416,2.28838,1.98616,0.0017624,0.0017624,0.0017624
14,2158.97,2.22844,2.26248,1.98447,0.41611,0.23681,0.21425,0.09707,2.02157,2.25169,1.97563,0.0017426,0.0017426,0.0017426
15,2293.94,2.20174,2.23249,1.92742,0.42483,0.25889,0.23077,0.10221,2.0036,2.20189,1.92632,0.0017228,0.0017228,0.0017228
16,2421.88,2.19385,2.23106,1.90742,0.40565,0.26001,0.22609,0.1038,1.98603,2.16218,1.92484,0.001703,0.001703,0.001703
17,2544.44,2.13409,2.15191,1.85264,0.41632,0.28021,0.24134,0.11364,1.92044,2.16444,1.90664,0.0016832,0.0016832,0.0016832
18,2658.73,2.15727,2.1858,1.88592,0.41697,0.28227,0.25025,0.11498,1.92364,2.12114,1.87694,0.0016634,0.0016634,0.0016634
19,2770.25,2.16149,2.17503,1.91493,0.44633,0.30116,0.28202,0.13634,1.87142,2.04827,1.84296,0.0016436,0.0016436,0.0016436
20,2897.73,2.09568,2.13141,1.87156,0.46867,0.29667,0.27543,0.1372,1.81808,2.03711,1.80777,0.0016238,0.0016238,0.0016238
21,3027.07,2.12325,2.15553,1.88758,0.47601,0.29779,0.28584,0.1409,1.82395,2.03879,1.8147,0.001604,0.001604,0.001604
22,3143.96,2.06802,2.05482,1.86606,0.4704,0.31987,0.29179,0.14163,1.80111,2.00815,1.80042,0.0015842,0.0015842,0.0015842
23,3262.67,2.0924,2.1259,1.86936,0.4619,0.30902,0.28513,0.14144,1.81049,1.98589,1.8124,0.0015644,0.0015644,0.0015644
24,3382.03,2.01428,2.07633,1.84839,0.45278,0.31697,0.28579,0.14126,1.79751,1.97045,1.81166,0.0015446,0.0015446,0.0015446
25,3501.55,2.02527,2.06471,1.80644,0.49119,0.31201,0.28992,0.14951,1.76514,1.94905,1.79721,0.0015248,0.0015248,0.0015248
26,3621.46,1.95349,2.03711,1.8066,0.47817,0.32959,0.31606,0.16305,1.72945,1.87373,1.75542,0.001505,0.001505,0.001505
27,3744.86,1.91958,1.93649,1.76372,0.48846,0.3468,0.32862,0.1656,1.72829,1.87614,1.73583,0.0014852,0.0014852,0.0014852
28,3869.34,1.96618,2.03224,1.81986,0.47754,0.32006,0.30834,0.15965,1.68729,1.91441,1.74444,0.0014654,0.0014654,0.0014654
29,3982.87,1.93916,1.96756,1.78417,0.47774,0.32323,0.31918,0.16859,1.6844,1.84454,1.72357,0.0014456,0.0014456,0.0014456
30,4095.18,1.86975,1.88657,1.70226,0.49416,0.33146,0.32799,0.17464,1.70654,1.82209,1.74551,0.0014258,0.0014258,0.0014258
31,4214.18,1.91427,1.90258,1.7673,0.48054,0.34269,0.33785,0.17603,1.65733,1.8176,1.72358,0.001406,0.001406,0.001406
32,4330.48,1.90707,1.9809,1.78466,0.5052,0.33408,0.33354,0.18099,1.62357,1.82797,1.68708,0.0013862,0.0013862,0.0013862
33,4444.06,1.88484,1.89049,1.73747,0.48994,0.34306,0.33275,0.17624,1.66078,1.81705,1.71304,0.0013664,0.0013664,0.0013664
34,4557.07,1.91453,1.95037,1.79141,0.50821,0.37112,0.35061,0.18435,1.64003,1.78237,1.67995,0.0013466,0.0013466,0.0013466
35,4668.29,1.79464,1.87381,1.72384,0.50615,0.3599,0.34633,0.18717,1.60498,1.74082,1.6745,0.0013268,0.0013268,0.0013268
36,4781.19,1.87089,1.8839,1.72303,0.51549,0.35952,0.35466,0.19043,1.61682,1.73179,1.68731,0.001307,0.001307,0.001307
37,4891.44,1.78039,1.81395,1.67945,0.51332,0.34942,0.34922,0.18738,1.6143,1.71882,1.68824,0.0012872,0.0012872,0.0012872
38,5005.44,1.84325,1.86618,1.73209,0.51267,0.34397,0.35347,0.19027,1.57747,1.73888,1.66082,0.0012674,0.0012674,0.0012674
39,5132.99,1.79076,1.88212,1.71533,0.48797,0.36775,0.36383,0.20073,1.56224,1.7436,1.638,0.0012476,0.0012476,0.0012476
40,5265.07,1.7821,1.835,1.68233,0.50213,0.36887,0.36556,0.20078,1.53106,1.69755,1.64329,0.0012278,0.0012278,0.0012278
41,5388.35,1.80401,1.8129,1.7197,0.52103,0.36813,0.37389,0.21071,1.52214,1.64823,1.62442,0.001208,0.001208,0.001208
