                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.0457,                 1.7553,                 1.3271,                 0.6707,                0.19753,                 0.4016,                0.18477,                 1.7766,                 2.3472,                  1.303,             0.00046444,             0.00046444,             0.00046444
                     35,                 1.9218,                 1.8182,                 1.4219,                0.67177,                0.21811,                0.40389,                 0.2014,                 1.7638,                 2.2862,                 1.2933,             0.00045098,             0.00045098,             0.00045098
                     36,                 2.0626,                 1.6542,                 1.3669,                0.77227,                0.26516,                0.48872,                0.24477,                  1.732,                 2.2097,                 1.2667,             0.00043594,             0.00043594,             0.00043594
                     37,                  1.803,                 1.7151,                 1.3694,                0.77227,                0.26516,                0.48872,                0.24477,                  1.732,                 2.2097,                 1.2667,             0.00041931,             0.00041931,             0.00041931
                     38,                 1.9809,                 1.7472,                   1.37,                 0.8178,                0.28807,                0.51457,                0.26206,                 1.7374,                 2.1486,                 1.2569,              0.0004011,              0.0004011,              0.0004011
                     39,                 1.7805,                 1.5858,                  1.271,                 0.8121,                0.32016,                0.51753,                0.26358,                 1.7623,                 2.1065,                 1.2668,              0.0003813,              0.0003813,              0.0003813
                     40,                 1.9994,                 1.5964,                 1.3151,                 0.8121,                0.32016,                0.51753,                0.26358,                 1.7623,                 2.1065,                 1.2668,             0.00035992,             0.00035992,             0.00035992
                     41,                 1.9339,                 1.8735,                 1.4358,                0.85526,                0.34156,                0.53427,                0.27101,                 1.7841,                  2.053,                 1.2807,             0.00033696,             0.00033696,             0.00033696
                     42,                 1.8982,                 1.8803,                 1.3487,                0.85022,                0.35041,                0.56788,                0.28072,                 1.7803,                 2.0246,                 1.2883,             0.00031241,             0.00031241,             0.00031241
                     43,                 1.9028,                 1.7371,                 1.4137,                0.85022,                0.35041,                0.56788,                0.28072,                 1.7803,                 2.0246,                 1.2883,             0.00028628,             0.00028628,             0.00028628
                     44,                 1.9036,                 1.8265,                 1.4642,                0.82776,                0.38683,                0.61205,                0.30848,                 1.7352,                 1.9581,                 1.2741,             0.00025856,             0.00025856,             0.00025856
                     45,                 1.8291,                 1.7043,                 1.3827,                0.82776,                0.38683,                0.61205,                0.30848,                 1.7352,                 1.9581,                 1.2741,             0.00022926,             0.00022926,             0.00022926
                     46,                 1.8599,                 1.7107,                 1.3811,                0.82022,                0.41305,                0.65883,                0.33571,                 1.6975,                    1.9,                 1.2633,             0.00019838,             0.00019838,             0.00019838
                     47,                 1.8008,                 1.6721,                 1.3456,                0.82022,                0.41305,                0.65883,                0.33571,                 1.6975,                    1.9,                 1.2633,             0.00016591,             0.00016591,             0.00016591
                     48,                 1.7642,                 1.6073,                  1.345,                 0.8029,                0.47737,                0.67882,                0.34942,                  1.661,                 1.8363,                 1.2513,             0.00013186,             0.00013186,             0.00013186
                     49,                 1.7929,                 1.7441,                 1.3332,                 0.8029,                0.47737,                0.67882,                0.34942,                  1.661,                 1.8363,                 1.2513,             9.6224e-05,             9.6224e-05,             9.6224e-05
                     50,                 1.8498,                 1.5995,                 1.3875,                0.83288,                0.53323,                0.70704,                0.36763,                 1.6364,                 1.7639,                 1.2421,             5.9004e-05,             5.9004e-05,             5.9004e-05
