epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,175.396,3.07045,3.57584,2.3694,0.0144,0.24804,0.01477,0.00379,2.89295,3.32369,2.36942,0.00064,0.00064,0.00064
2,344.771,2.87635,2.90155,2.18787,0.16919,0.07969,0.046,0.01597,2.72496,3.08188,2.44309,0.00127426,0.00127426,0.00127426
3,505.627,2.79387,2.78202,2.24852,0.09653,0.09727,0.04082,0.01342,2.61493,3.10501,2.50406,0.00188238,0.00188238,0.00188238
4,667.202,2.62523,2.70705,2.21585,0.208,0.11523,0.07362,0.02506,2.53894,2.77562,2.36268,0.0018812,0.0018812,0.0018812
5,829.199,2.59191,2.60727,2.19567,0.21646,0.12832,0.08042,0.02807,2.42808,2.72932,2.28599,0.0018416,0.0018416,0.0018416
6,978.939,2.60731,2.57617,2.17518,0.2204,0.11111,0.07964,0.02955,2.43649,2.73037,2.25251,0.001802,0.001802,0.001802
7,1136.17,2.50668,2.54193,2.16221,0.3142,0.14628,0.12258,0.04531,2.35359,2.60931,2.19069,0.0017624,0.0017624,0.0017624
8,1278.62,2.48947,2.47112,2.13816,0.3298,0.17059,0.15293,0.05978,2.30581,2.53016,2.16753,0.0017228,0.0017228,0.0017228
9,1430.61,2.42499,2.4556,2.11121,0.35804,0.19267,0.16751,0.06477,2.23712,2.44792,2.14271,0.0016832,0.0016832,0.0016832
10,1580.85,2.46093,2.50869,2.15567,0.29353,0.14553,0.11885,0.04289,2.32507,2.48779,2.19521,0.0016436,0.0016436,0.0016436
11,1738.96,2.35645,2.34154,2.01928,0.30021,0.17434,0.14949,0.06062,2.16102,2.48873,2.06327,0.001604,0.001604,0.001604
12,1885.17,2.29782,2.32087,2.03156,0.31857,0.21324,0.16854,0.06718,2.12361,2.32598,2.00435,0.0015644,0.0015644,0.0015644
13,2026.46,2.31656,2.36452,2.01421,0.38596,0.23719,0.21704,0.0889,2.06716,2.27255,1.99734,0.0015248,0.0015248,0.0015248
14,2172.18,2.23192,2.31068,1.99629,0.39365,0.26182,0.22255,0.09042,2.04603,2.28087,1.99296,0.0014852,0.0014852,0.0014852
15,2302.89,2.23792,2.2745,1.97202,0.40013,0.25851,0.21984,0.09001,2.01977,2.21989,1.96074,0.0014456,0.0014456,0.0014456
16,2433.27,2.15913,2.2243,1.90506,0.41407,0.28527,0.24992,0.10596,1.97599,2.15955,1.91045,0.001406,0.001406,0.001406
17,2568.03,2.13944,2.12266,1.84601,0.39995,0.29368,0.25233,0.10857,1.91881,2.11947,1.90319,0.0013664,0.0013664,0.0013664
18,2704.48,2.13557,2.15148,1.9091,0.43914,0.28208,0.2418,0.1114,1.93532,2.11226,1.91989,0.0013268,0.0013268,0.0013268
19,2835.36,2.14336,2.1482,1.91672,0.44663,0.30588,0.26789,0.1214,1.91441,2.08534,1.89181,0.0012872,0.0012872,0.0012872
20,2963.05,2.04887,2.07417,1.83402,0.44812,0.32548,0.28707,0.12947,1.86112,2.03061,1.83894,0.0012476,0.0012476,0.0012476
21,3089.05,2.12085,2.08667,1.8877,0.42429,0.3483,0.28109,0.13074,1.85206,2.01522,1.87619,0.001208,0.001208,0.001208
22,3222.37,2.01652,2.05344,1.86258,0.46058,0.35578,0.30827,0.14359,1.8357,1.98703,1.86936,0.0011684,0.0011684,0.0011684
23,3351.95,2.08184,2.06323,1.90401,0.43455,0.33296,0.28561,0.13586,1.77767,1.96146,1.81989,0.0011288,0.0011288,0.0011288
24,3477.9,1.99654,2.02443,1.82756,0.46021,0.35531,0.31497,0.15019,1.75104,1.9431,1.78563,0.0010892,0.0010892,0.0010892
25,3602.6,2.00089,2.00983,1.80346,0.45026,0.33707,0.29923,0.14526,1.76333,1.97292,1.81102,0.0010496,0.0010496,0.0010496
26,3725.62,1.93782,1.98145,1.7959,0.4746,0.37262,0.33518,0.15926,1.76412,1.90532,1.77717,0.00101,0.00101,0.00101
27,3846.43,1.90898,1.91718,1.77051,0.46505,0.36139,0.3287,0.16039,1.70451,1.8883,1.75158,0.0009704,0.0009704,0.0009704
28,3955.58,1.90033,1.9218,1.75838,0.46678,0.37564,0.33878,0.16747,1.68609,1.8525,1.72988,0.0009308,0.0009308,0.0009308
29,4068.23,1.9054,1.93286,1.75399,0.44312,0.37568,0.33504,0.16586,1.66841,1.8577,1.72933,0.0008912,0.0008912,0.0008912
30,4183.59,1.84412,1.87165,1.70661,0.4663,0.39257,0.35921,0.17751,1.64825,1.81734,1.7086,0.0008516,0.0008516,0.0008516
31,4298.45,1.8644,1.8745,1.72733,0.47419,0.39394,0.35678,0.1853,1.63442,1.79939,1.69543,0.000812,0.000812,0.000812
32,4410.6,1.84128,1.857,1.72715,0.47975,0.39846,0.3595,0.1873,1.63215,1.77554,1.68669,0.0007724,0.0007724,0.0007724
33,4521.05,1.88234,1.88806,1.73109,0.47226,0.3937,0.35797,0.18737,1.60027,1.7595,1.68198,0.0007328,0.0007328,0.0007328
34,4630.12,1.86791,1.87635,1.7536,0.47966,0.41302,0.38444,0.1961,1.61244,1.73617,1.66866,0.0006932,0.0006932,0.0006932
35,4739.61,1.82272,1.81822,1.72959,0.47167,0.39768,0.37682,0.19528,1.57951,1.73295,1.67355,0.0006536,0.0006536,0.0006536
36,4852,1.84125,1.86477,1.69823,0.48099,0.40404,0.37683,0.19697,1.59038,1.73086,1.66592,0.000614,0.000614,0.000614
37,4964.81,1.79028,1.83209,1.69615,0.48064,0.40816,0.38591,0.19906,1.55977,1.72649,1.6585,0.0005744,0.0005744,0.0005744
38,5076.49,1.84633,1.89025,1.75124,0.49234,0.41003,0.39292,0.20543,1.54904,1.69622,1.65121,0.0005348,0.0005348,0.0005348
39,5185.34,1.79004,1.80928,1.69447,0.48953,0.40505,0.385,0.20447,1.55018,1.67458,1.63328,0.0004952,0.0004952,0.0004952
40,5293.9,1.79915,1.79226,1.68421,0.4975,0.40928,0.39891,0.20947,1.53869,1.65905,1.6145,0.0004556,0.0004556,0.0004556
41,5411.04,1.73419,1.88853,1.75769,0.51604,0.41452,0.40607,0.21111,1.5663,1.6772,1.61811,0.000416,0.000416,0.000416
42,5528.84,1.73982,1.85636,1.73412,0.51285,0.40803,0.40201,0.21447,1.54012,1.68263,1.61816,0.0003764,0.0003764,0.0003764
43,5645.02,1.66752,1.78733,1.71192,0.5061,0.40479,0.39799,0.21619,1.51921,1.66828,1.63415,0.0003368,0.0003368,0.0003368
44,5753.29,1.67764,1.80703,1.73014,0.51863,0.42798,0.41462,0.22418,1.51465,1.6406,1.61177,0.0002972,0.0002972,0.0002972
45,5864.96,1.69658,1.78071,1.72392,0.52327,0.42349,0.41204,0.22461,1.49374,1.63332,1.60312,0.0002576,0.0002576,0.0002576
46,5978.35,1.65894,1.80171,1.73408,0.5227,0.42088,0.41223,0.22269,1.48162,1.63292,1.59818,0.000218,0.000218,0.000218
47,6085.5,1.62734,1.74897,1.67352,0.52913,0.42587,0.42061,0.22795,1.47446,1.62436,1.58053,0.0001784,0.0001784,0.0001784
48,6193.26,1.61838,1.73949,1.66371,0.52315,0.44145,0.42515,0.23252,1.46854,1.61791,1.57392,0.0001388,0.0001388,0.0001388
49,6301.82,1.61734,1.72543,1.67579,0.52282,0.4431,0.42943,0.23581,1.4651,1.60675,1.57371,9.92e-05,9.92e-05,9.92e-05
50,6408.7,1.62416,1.70675,1.63242,0.53245,0.44052,0.42929,0.23671,1.46233,1.60106,1.57157,5.96e-05,5.96e-05,5.96e-05
